model_name,model_kind,config_id,n_seeds,hidden_size,learning_rate,weight_decay,bptt_length,batch_size,num_layers,max_epochs,patience,grad_clip,training_mode,window_stride,window_washout,normalize_inputs,normalize_targets,max_train_seconds_per_run,delay_recall_memory_corr_total_mean,delay_recall_test_memory_corr_total_mean,delay_recall_memory_eff_total_mean,delay_recall_test_memory_eff_total_mean,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,diagnostic_total_s_mean,selected_fit_s_mean,selected_fit_s_std,selected_test_s_mean,selected_test_s_std,selected_total_s_mean,selected_total_s_std,tuning_total_s_sum,diagnostic_total_s_sum,n_total_params_mean,n_trainable_params_mean,rank_delay_recall_within_model,rank_narma10_within_model,rank_mg_within_model,aggregate_rank_within_model,global_rank_delay_recall,global_rank_narma10,global_rank_mg,global_aggregate_rank,delay_recall_n_total_params,delay_recall_n_trainable_params,narma10_n_total_params,narma10_n_trainable_params,mg_n_total_params,mg_n_trainable_params,dropout,spectral_radius,input_scaling,leak_rate,n_lags,feature_mode,ridge_param
cycle_jump_j7,esn,9992b49ddf96,7,,,,,,,,,,,,,,,,48.23355018853029,48.1561978228728,48.11449320112865,48.06642301952991,0.13241966774707967,0.1318744297597234,0.25533047433249156,0.22796297614689306,0.4253540142848838,1.2275944571436932,0.07858564998531951,0.048283757144028126,0.0044836504072453265,1.2758782142877212,0.07871345186554544,53.3815588999787,55.374310200037144,13600.0,3400.0,1,4,6,3.6666666666666665,7,17,41,21.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.05,1.0,,,
multiscale_three_random,esn,4d2160951482,7,,,,,,,,,,,,,,,,17.112911954359816,17.062101690245772,16.88657585136102,16.86400362378262,0.0956872416021031,0.10034427988230311,0.10857852908212495,0.10374279620630389,0.39958150952346233,1.1465126857105394,0.04308613107087651,0.052041800004579794,0.008016592232965261,1.1985544857151191,0.0438255683555432,51.414534299816296,53.468558599983226,13600.0,3400.0,2,1,4,2.3333333333333335,26,6,33,21.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.2,0.9,,,
cycle_scr,esn,4d2160951482,7,,,,,,,,,,,,,,,,37.83592709412433,37.80388338466806,37.328801911180484,37.34862464342841,0.19156864177292485,0.19011396012460008,0.07533590750563217,0.06453104949239814,0.37594502857107376,1.078183228573055,0.07839611995912624,0.049461842859662805,0.006728690921641931,1.1276450714327177,0.07868434981725843,46.21971390008548,48.231842100016365,13600.0,3400.0,3,3,3,3.0,10,31,27,22.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.2,0.9,,,
multiscale_three_random,esn,259248d07a08,7,,,,,,,,,,,,,,,,16.630248742481914,16.57901224737878,16.443592646513128,16.41184985631402,0.0981875920841064,0.10112023399325852,0.12065813583772467,0.11502179549194237,0.40620381904799224,1.170793357133724,0.048365765417612075,0.04762417142878154,0.0011928176114458639,1.2184175285625056,0.04838047207588673,51.414534299816296,53.468558599983226,13600.0,3400.0,3,2,5,3.3333333333333335,27,7,34,22.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.2,0.9,,,
random_sparse_baseline,esn,9992b49ddf96,7,,,,,,,,,,,,,,,,32.65084915590363,32.88740187273295,32.43499665138683,32.718779179165516,0.11813708918532319,0.11784248901610396,0.2216578435888785,0.2022816880055943,0.43943352380960105,1.2722914000041783,0.0832502167067309,0.045834728566530564,0.0005079909147363073,1.3181261285707089,0.08325176656676488,52.520950600053766,54.46438949998992,13600.0,3400.0,1,4,6,3.6666666666666665,16,15,38,23.0,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.05,1.0,,,
multiscale_three_random,esn,4e018c35c4e2,7,,,,,,,,,,,,,,,,13.91192019597477,13.907292733483716,13.726641838203719,13.757000504190431,0.10217313751164861,0.1039892101304526,0.08936568899357018,0.08566477534600513,0.41578070952354684,1.1997859571461698,0.046441803523881046,0.04736458570966663,0.0011014090118845103,1.2471505428558365,0.046454862139094014,51.414534299816296,53.468558599983226,13600.0,3400.0,4,3,3,3.3333333333333335,29,9,31,23.0,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.4,0.9,,,
multiscale_three_random,esn,9992b49ddf96,7,,,,,,,,,,,,,,,,24.061594572676935,24.080176280660833,23.789301410056364,23.86214392865016,0.12670853869775178,0.1267006754738071,0.24940321007750726,0.23270100948548447,0.43723110952435357,1.2642473571384991,0.08059761023969164,0.047261985714223034,0.0010177942009881227,1.3115093428527222,0.08060403638394797,51.414534299816296,53.468558599983226,13600.0,3400.0,1,4,6,3.6666666666666665,22,16,39,25.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.05,1.0,,,
tapped_delay_ridge,tapped_delay_ridge,a6aa1bed1edb,7,,,,,,,,,,,,,,,,50.046560438148205,,50.000208516928886,,0.175744291942719,,0.3487289974870463,,0.13051391428771672,0.3224491857233391,0.06375333084947978,,,0.3915417428631502,0.06620050465116536,10.611348500096938,14.804310400068061,1734.0,1734.0,2,3,3,2.6666666666666665,6,26,45,25.666666666666668,5100.0,5100.0,51.0,51.0,51.0,51.0,,,,,50,raw,1e-06
cycle_scr,esn,5d1a27f2c344,7,,,,,,,,,,,,,,,,10.115084648538025,10.147632700136674,9.760446282675895,9.803929501968824,0.28308350906144053,0.28815971477366614,0.014317544701083814,0.012023149965699639,0.3655818666676558,1.0498434000026984,0.07334467527523467,0.04671164285744972,0.0005518233532258635,1.0965550428601483,0.07334675112261471,46.21971390008548,48.231842100016365,13600.0,3400.0,5,4,2,3.6666666666666665,34,35,12,27.0,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,1.0,0.3,,,
tapped_delay_ridge,tapped_delay_ridge,f81eab77cd40,7,,,,,,,,,,,,,,,,25.09028767545411,,25.0,,0.1579445405960549,,0.32655140417723644,,0.08936001904796631,0.2200653714327408,0.04668857829090646,,,0.26808005714389893,0.04587457437820964,10.611348500096938,14.804310400068061,1768.0,1768.0,3,2,2,2.3333333333333335,19,20,44,27.666666666666668,5200.0,5200.0,52.0,52.0,52.0,52.0,,,,,25,quadratic,1e-06
simple_rnn,torch_simple_rnn,084341ab599f,7,128,0.01,0.0,200,32,1,800,50,1.0,windowed,50,auto,True,True,,34.232655147045854,,33.18793067001187,,0.179903839125145,,0.2707681410439306,,18.59819898095191,55.70487901428299,25.32521444380062,,,55.79459694285573,25.32573282456112,5328.41050729993,6825.014685099886,21154.0,21154.0,6,6,6,6.0,14,28,42,28.0,29668.0,29668.0,16897.0,16897.0,16897.0,16897.0,,,,,,,
random_sparse_baseline,esn,156770123aaf,7,,,,,,,,,,,,,,,,8.702124987595687,8.76677495088689,8.403135885891192,8.485971724178047,0.2897335057941485,0.2949993242109921,0.012813075995792662,0.011238575031561851,0.44511989999938084,1.2894068999989292,0.08059011197315642,0.04578814286235554,0.0005437425682420345,1.3351950428612847,0.080591946271488,52.520950600053766,54.46438949998992,13600.0,3400.0,5,5,2,4.0,36,39,10,28.333333333333332,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.2,1.0,0.3,,,
random_sparse_baseline,esn,b07b757cf213,7,,,,,,,,,,,,,,,,7.628552154502133,7.709242051641209,7.351693177048661,7.517736230241269,0.3653084679748152,0.32701569990697094,0.011941754529989638,0.010960156964838976,0.47031260476207876,1.3640831714281894,0.0849652213597806,0.0466733142893645,0.0012065870879150887,1.410756485717554,0.08497378827095589,52.520950600053766,54.46438949998992,13600.0,3400.0,6,6,1,4.333333333333333,37,43,8,29.333333333333332,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.4,1.5,0.3,,,
nonnormal_chain_g0_3,esn,4e018c35c4e2,7,,,,,,,,,,,,,,,,3.080362234173364,3.4728276865817733,2.2339846073665908,2.4656204350548987,0.28647510806376253,0.2929744325282764,0.011381919377828759,0.009827560469904085,0.42420104285771404,1.2255304857161329,0.06071259031020875,0.04688510000102854,0.0004236720786779801,1.2724155857171613,0.06071406855256453,49.86669650019758,51.89364260000002,13600.0,3400.0,2,4,1,2.3333333333333335,44,37,7,29.333333333333332,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.4,0.9,,,
multiscale_three_random,esn,156770123aaf,7,,,,,,,,,,,,,,,,7.531781320143614,7.444908589164283,7.238037141146208,7.2425520213893035,0.2857175291498019,0.28991999640408755,0.01831501979884766,0.016965869943038253,0.4423745714271458,1.2779605714219673,0.053384762732744014,0.04898872857510079,0.004995530257563065,1.326949299997068,0.053617984059321014,51.414534299816296,53.468558599983226,13600.0,3400.0,5,5,2,4.0,38,36,17,30.333333333333332,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.2,1.0,0.3,,,
cycle_scr,esn,92bfaaea8b8b,7,,,,,,,,,,,,,,,,68.30943062119499,69.01553422323029,68.1315831291853,68.86554513337319,0.5166417298326035,0.4965829298539017,0.28913027149722614,0.18789408789899364,0.39108475238026585,1.125902700009257,0.049295546888764016,0.04717504286132421,0.0017964356846144908,1.1730777428705812,0.04932826901718008,46.21971390008548,48.231842100016365,13600.0,3400.0,2,5,6,4.333333333333333,2,47,43,30.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.05,1.0,,,
multiscale_three_random,esn,059a4ddb8c9d,7,,,,,,,,,,,,,,,,7.000933874498346,6.972505312470295,6.69588141331517,6.71205003441576,0.2899852970125139,0.29771381530466595,0.016611340787335865,0.015177241276779654,0.4449501190479384,1.2856335428514285,0.07134525036661904,0.04901941428813318,0.00510947698957881,1.3346529571395616,0.07152797707878078,51.414534299816296,53.468558599983226,13600.0,3400.0,6,6,1,4.333333333333333,39,40,16,31.666666666666668,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.4,1.0,0.3,,,
nonnormal_chain_g0_3,esn,9e51842d34ab,7,,,,,,,,,,,,,,,,3.5980148048609166,3.804890559930923,2.7711284081331846,2.949034562394645,0.26198654495850204,0.2656527355465411,0.02849847794294046,0.026395152131120814,0.40852623333298,1.1787982428712505,0.0589279007083161,0.046585942853458365,0.00044860311105195095,1.225384185724709,0.058929608234234904,49.86669650019758,51.89364260000002,13600.0,3400.0,1,1,4,2.0,43,32,21,32.0,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.2,1.0,,,
tapped_delay_ridge,tapped_delay_ridge,6c6534af441c,7,,,,,,,,,,,,,,,,25.082237131545146,,25.000954383008963,,0.18660152339507835,,0.3501754236308924,,0.06059754761753582,0.13348339998836828,0.009048376497302994,,,0.18179264285260746,0.009657351811665243,10.611348500096938,14.804310400068061,884.0,884.0,4,4,4,4.0,20,30,46,32.0,2600.0,2600.0,26.0,26.0,26.0,26.0,,,,,25,raw,1e-06
cycle_jump_j7,esn,b07b757cf213,7,,,,,,,,,,,,,,,,4.241951656656731,4.743807278875729,3.8202968122727343,4.564859787237774,0.42701517318987464,0.4274711090125468,0.012362046316868037,0.01131682539389009,0.46910444761929937,1.3599291714261716,0.09847539091702992,0.04721258571537744,0.0018024702697455655,1.4071417571415494,0.09849188553040893,53.3815588999787,55.374310200037144,13600.0,3400.0,6,6,1,4.333333333333333,42,46,9,32.333333333333336,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.4,1.5,0.3,,,
nonnormal_chain_g0_3,esn,259248d07a08,7,,,,,,,,,,,,,,,,3.006770818614214,3.124972114635245,2.1047280290968,2.3037692838770525,0.2751203071492913,0.27792532092990774,0.02138566265179228,0.022744387608516495,0.40480430476149887,1.1657244428643025,0.04320728774124365,0.04849150000102652,0.004148932591814327,1.214215942865329,0.04340602902369719,49.86669650019758,51.89364260000002,13600.0,3400.0,3,2,3,2.6666666666666665,45,33,19,32.333333333333336,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.2,0.9,,,
cycle_jump_j7,esn,156770123aaf,7,,,,,,,,,,,,,,,,6.867369127573077,6.742904512458354,6.668810273146632,6.448251243861423,0.4000542762178241,0.36368219258738027,0.015527310305311915,0.013499136673121344,0.45729968095249546,1.3256227142867698,0.08486810652241808,0.04611015714285063,0.00043693652227534734,1.3717328714296206,0.0848692312809831,53.3815588999787,55.374310200037144,13600.0,3400.0,5,5,2,4.0,40,45,13,32.666666666666664,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.2,1.0,0.3,,,
cycle_scr,esn,b07b757cf213,7,,,,,,,,,,,,,,,,5.312821455403588,5.33316977953754,4.746655454624535,4.7891997350202615,0.9027771232788416,0.9065451355269217,0.013364150909812716,0.012813628377884079,0.3898364142857775,1.1227104857129493,0.060433203961419955,0.046606671419535166,0.0004662255398668848,1.1693171571324845,0.06043500233553903,46.21971390008548,48.231842100016365,13600.0,3400.0,6,6,1,4.333333333333333,41,48,11,33.333333333333336,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.4,1.5,0.3,,,
nonnormal_chain_g0_3,esn,4d2160951482,7,,,,,,,,,,,,,,,,2.0560427476770404,1.9962335995120501,1.3005425487028452,1.1228455566136226,0.28736892344117687,0.2898389303428112,0.030137500689638667,0.03226941844977809,0.39114597619031666,1.123146642858046,0.035814991340488676,0.05009688571278405,0.0066620013591647915,1.17324352857083,0.03642932701586447,49.86669650019758,51.89364260000002,13600.0,3400.0,4,5,5,4.666666666666667,46,38,22,35.333333333333336,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.2,0.9,,,
nonnormal_chain_g0_3,esn,4df7ca5b3a5c,7,,,,,,,,,,,,,,,,1.5854294693107291,1.7740644271746784,1.0058172933300094,1.1559509726957882,0.3815569395587137,0.42000666926499514,0.016329657018653684,0.012536775984238255,0.4198496714279394,1.2123186428590478,0.05841354217214088,0.047029157144217085,0.00048799210064330134,1.259347800003265,0.05841558050200966,49.86669650019758,51.89364260000002,13600.0,3400.0,6,6,2,4.666666666666667,48,44,15,35.666666666666664,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,1.0,0.4,0.5,,,
nonnormal_chain_g0_3,esn,0e41bf66b8bb,7,,,,,,,,,,,,,,,,1.937791169169892,2.430725245573826,1.262311477538012,1.3766275673354544,0.2799212169633843,0.28213166054853395,0.08883393558888054,0.0866197839426559,0.42259860952479006,1.2182953285737312,0.07195234543198033,0.04931089999653133,0.006145613711625133,1.2676062285702625,0.07221432393269037,49.86669650019758,51.89364260000002,13600.0,3400.0,5,3,6,4.666666666666667,47,34,30,37.0,20200.0,10000.0,10300.0,100.0,10300.0,100.0,,0.95,0.1,0.9,,,
tapped_delay_ridge,tapped_delay_ridge,85b8bdf21c0a,7,,,,,,,,,,,,,,,,10.125568575402017,,10.008784225073867,,0.35437726886014465,,0.3593929670839774,,0.03805038571451968,0.076391942857299,0.005785028886248465,,,0.11415115714355904,0.006430893624166698,10.611348500096938,14.804310400068061,748.0,748.0,5,5,5,5.0,33,41,47,40.333333333333336,2200.0,2200.0,22.0,22.0,22.0,22.0,,,,,10,quadratic,1e-06
tapped_delay_ridge,tapped_delay_ridge,e5146fb1df11,7,,,,,,,,,,,,,,,,10.09945691376663,,10.012118376274131,,0.35803647761290774,,0.39978671015381984,,0.02946638095350604,0.05048351428870644,0.0022335586706320235,,,0.08839914286051812,0.003420532749088066,10.611348500096938,14.804310400068061,374.0,374.0,6,6,6,6.0,35,42,48,41.666666666666664,1100.0,1100.0,11.0,11.0,11.0,11.0,,,,,10,raw,1e-06
