config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
8548609bc94c,0.7,0.3,0.9,1e-10,2.5831856047322505e-12,4.1013877208949217e-13,2.499209559120337e-12,4.634141784564236e-13,5
8c1c233dfbb1,0.7,0.3,1.0,1e-10,2.429566848327993e-12,4.357266272234235e-13,2.3736617954450238e-12,4.3201878472205444e-13,5
1af9a7301069,0.7,0.4,0.5,1e-10,9.796546656913485e-12,1.987590698237603e-12,8.756958382949794e-12,1.4340112814291054e-12,5
01667e5bb997,0.7,0.4,0.6,1e-10,5.77847646308638e-12,1.1290989441593796e-12,5.386101576854623e-12,1.007158416057316e-12,5
0bc9dac62c1c,0.7,0.4,0.7,1e-10,3.5349201065994966e-12,1.1142597379422843e-12,3.535445486056677e-12,1.314536654004811e-12,5
2d382bf713db,0.7,0.4,0.8,1e-10,2.5156747213779456e-12,9.084268585518923e-13,2.607490472260447e-12,1.0963081659711047e-12,5
76d30ba9d16d,0.7,0.4,0.9,1e-10,2.017397635766551e-12,5.994346449532976e-13,2.089541811771482e-12,7.160096780603224e-13,5
9dee4b91ded8,0.7,0.4,1.0,1e-10,1.7559967923852277e-12,4.272202624379167e-13,1.7937619308848762e-12,4.609792453267341e-13,5
ab82caf61596,0.8,0.05,0.5,1e-10,6.500291070048778e-11,5.837225553351943e-12,6.068219259096724e-11,5.23947979848145e-12,5
15c44783ca07,0.8,0.05,0.6,1e-10,4.471087809287745e-11,1.0344415817876575e-11,4.357735226640587e-11,1.051396552830066e-11,5
9c6707965944,0.8,0.05,0.7,1e-10,2.608619717342503e-11,5.386912808088022e-12,2.54235319765767e-11,5.754192966251157e-12,5
a48d03fa5eb5,0.8,0.05,0.8,1e-10,2.0584457574019252e-11,2.1891089010536588e-12,1.9841681300150392e-11,1.769633499821268e-12,5
fc01cbd8804c,0.8,0.05,0.9,1e-10,2.1025595161107287e-11,2.313858963498024e-12,2.024308021879814e-11,1.9924444341174647e-12,5
ea93ddc121f9,0.8,0.05,1.0,1e-10,2.0127014661408016e-11,4.604708120126092e-12,1.9461506969263488e-11,4.411615832525892e-12,5
e265f3cf582e,0.8,0.1,0.5,1e-10,2.2332737969022696e-11,4.561461223025007e-12,2.043741213508167e-11,4.4884784564053985e-12,5
e7e25c68091c,0.8,0.1,0.6,1e-10,1.784333197513754e-11,2.762713679393398e-12,1.7275995412286772e-11,2.9541329872210682e-12,5
3d53c19c2941,0.8,0.1,0.7,1e-10,1.221632253540482e-11,2.9371751577438987e-12,1.1784466090619294e-11,3.100810214152744e-12,5
503532de740a,0.8,0.1,0.8,1e-10,7.06297853568761e-12,1.395127514217897e-12,6.6668094060020754e-12,1.4309452938504978e-12,5
a041111b9a85,0.8,0.1,0.9,1e-10,5.494314164791212e-12,4.3511264650439266e-13,5.1290044574137805e-12,3.5911726024530177e-13,5
7712fc84886e,0.8,0.1,1.0,1e-10,5.511772114184045e-12,5.883654119710015e-13,5.145347676555626e-12,3.524100519054753e-13,5
b05deac84252,0.8,0.15,0.5,1e-10,1.3361421486632924e-11,3.4794366377528257e-12,1.223553962484534e-11,3.4557343622601067e-12,5
de99317441ca,0.8,0.15,0.6,1e-10,9.627946560861263e-12,1.7788682431666168e-12,9.295787331715564e-12,2.047193533176477e-12,5
2e8562f7a417,0.8,0.15,0.7,1e-10,7.2612098868488896e-12,1.6579708737013983e-12,6.954589796203315e-12,1.7674911903942998e-12,5
da7e4d92e8cb,0.8,0.15,0.8,1e-10,4.2209076558933096e-12,1.0243556749928496e-12,3.952447160644374e-12,1.0713878386045506e-12,5
a9601e3f62df,0.8,0.15,0.9,1e-10,2.829541911994733e-12,4.070966566384378e-13,2.596280377359784e-12,4.0782068070790197e-13,5
8baeb0c225c0,0.8,0.15,1.0,1e-10,2.5705769992198003e-12,2.145173142046974e-13,2.3549657502475455e-12,2.0093091233771541e-13,5
a0c95183bc66,0.8,0.2,0.5,1e-10,9.81177215348034e-12,2.474456484341466e-12,8.910588996647864e-12,2.4901223303361825e-12,5
90d773923187,0.8,0.2,0.6,1e-10,6.766055401327159e-12,1.4332978996273557e-12,6.331470668425433e-12,1.7103129056033831e-12,5
bd5c97f318a4,0.8,0.2,0.7,1e-10,5.271238215014075e-12,1.1367416926292087e-12,4.89642611147206e-12,1.3932906599438604e-12,5
4a5de2fdccd6,0.8,0.2,0.8,1e-10,3.2159844445162117e-12,7.655573117805046e-13,2.9515086474858353e-12,9.36617660202625e-13,5
5d7efc63ccdb,0.8,0.2,0.9,1e-10,2.0288095774763133e-12,4.129676486866339e-13,1.850005512572757e-12,4.715243752692266e-13,5
4bf4f06eba9c,0.8,0.2,1.0,1e-10,1.613982771769338e-12,1.9136317325270386e-13,1.478743687119177e-12,1.527352710395303e-13,5
428a9663f05d,0.8,0.3,0.5,1e-10,6.714448925922672e-12,1.5719924716207245e-12,6.067644818004277e-12,1.1596140581324164e-12,5
8a878de8c02b,0.8,0.3,0.6,1e-10,4.126627859834325e-12,1.2581721926682412e-12,3.5738918016024387e-12,8.956372886326048e-13,5
7d112613b9a7,0.8,0.3,0.7,1e-10,3.4028806771022215e-12,8.873887667831651e-13,2.968985675303539e-12,7.715959055890536e-13,5
036ddab9716a,0.8,0.3,0.8,1e-10,2.5448455933669892e-12,6.619945467974197e-13,2.3278390261098293e-12,8.155597034871465e-13,5
d9ecd148e6ac,0.8,0.3,0.9,1e-10,1.8169097261494551e-12,5.170843311462283e-13,1.755763398060939e-12,7.217997452067879e-13,5
6dc78acfb100,0.8,0.3,1.0,1e-10,1.3563588673462986e-12,3.4225957376851725e-13,1.365063846278133e-12,4.949934701508656e-13,5
7351146d69e7,0.8,0.4,0.5,1e-10,5.713428672957729e-12,1.1777221952557753e-12,5.303321593708003e-12,1.0601785290326151e-12,5
1b1ae801a319,0.8,0.4,0.6,1e-10,3.2145014769474462e-12,5.429864604798558e-13,3.032539735815284e-12,5.855892745756191e-13,5
5f4d2647fd5e,0.8,0.4,0.7,1e-10,2.4687604857246817e-12,4.437072715237656e-13,2.4221952611388998e-12,5.378802148042228e-13,5
6741f7c852ef,0.8,0.4,0.8,1e-10,1.9113134703723165e-12,3.8971104302961773e-13,1.9824770630284813e-12,4.87347354152899e-13,5
566c972097d7,0.8,0.4,0.9,1e-10,1.4815837474752097e-12,3.826852878044804e-13,1.6083579624487266e-12,4.567773576757041e-13,5
4b181bf29230,0.8,0.4,1.0,1e-10,1.2072365531151644e-12,3.797327767168697e-13,1.3330326554300877e-12,4.2580038192655794e-13,5
1a7e4f42f613,0.9,0.05,0.5,1e-10,4.796083549466128e-11,8.98749116073976e-12,4.20200408562249e-11,8.21892369385714e-12,5
6394867d74a1,0.9,0.05,0.6,1e-10,2.8138403047948327e-11,6.644430420896163e-12,2.51264267157955e-11,6.005017999221446e-12,5
0fb1da4d091e,0.9,0.05,0.7,1e-10,1.847822335015993e-11,3.2697944360159347e-12,1.772454676592789e-11,3.2782455252561985e-12,5
804179bc04bd,0.9,0.05,0.8,1e-10,1.5114493248391632e-11,4.040644187464956e-12,1.5040740232004172e-11,4.2416555587188154e-12,5
16217e21e3f8,0.9,0.05,0.9,1e-10,1.1934899660204508e-11,3.879119473272152e-12,1.1846704131483711e-11,4.1718600654857876e-12,5
3d29e97f411f,0.9,0.05,1.0,1e-10,9.536118111901051e-12,2.862279450256805e-12,9.345435625804268e-12,3.0762391432341555e-12,5
56b40a987d15,0.9,0.1,0.5,1e-10,1.731340509380116e-11,3.259246450546515e-12,1.56295253864964e-11,3.941710374735532e-12,5
9c67a6f86fa9,0.9,0.1,0.6,1e-10,1.0970429679544931e-11,2.8184541560630848e-12,1.0065854507547668e-11,3.049927786224894e-12,5
0f39b85583a2,0.9,0.1,0.7,1e-10,7.843124248295721e-12,1.9710869033352072e-12,7.387845382943332e-12,2.149074503072747e-12,5
097547e9077d,0.9,0.1,0.8,1e-10,6.446070047481184e-12,1.979318927892298e-12,6.198222430434216e-12,2.050932866762422e-12,5
65189332b1c4,0.9,0.1,0.9,1e-10,4.941186166441615e-12,1.8789901500201265e-12,4.739191593295962e-12,1.9009206152509316e-12,5
129fe242d561,0.9,0.1,1.0,1e-10,3.4617304272620287e-12,1.300679341565019e-12,3.3022594074124436e-12,1.3155414200034532e-12,5
dc67d33a6091,0.9,0.15,0.5,1e-10,1.0215740221798569e-11,2.2087164650684813e-12,9.245349864230855e-12,2.4882798193319697e-12,5
1b0a13327b42,0.9,0.15,0.6,1e-10,6.361651583363711e-12,1.6461923314138222e-12,5.816351055284242e-12,1.6974745532361758e-12,5
bb42fed7ad80,0.9,0.15,0.7,1e-10,4.268372556060301e-12,9.39409960562792e-13,3.987440810186777e-12,1.0108816840509763e-12,5
c82084527fd4,0.9,0.15,0.8,1e-10,3.5883772798153166e-12,7.220481151169626e-13,3.3830669104996954e-12,9.067844729113113e-13,5
b5cf1e3871f2,0.9,0.15,0.9,1e-10,2.9170504671366263e-12,7.891314817539535e-13,2.725812175913436e-12,9.503969955878967e-13,5
92815a841b21,0.9,0.15,1.0,1e-10,2.1260024293894963e-12,6.01515922700201e-13,1.97604274612607e-12,7.170550328722869e-13,5
4301cfd62e59,0.9,0.2,0.5,1e-10,7.004022878856901e-12,1.639235913760676e-12,6.497704117423144e-12,1.808647473273226e-12,5
bf8866ab4036,0.9,0.2,0.6,1e-10,4.790595989571204e-12,1.3833212169260436e-12,4.528744028821932e-12,1.579085891899483e-12,5
20d37f6f5acf,0.9,0.2,0.7,1e-10,3.2544602874785818e-12,8.676636945206786e-13,3.073614095142356e-12,1.1117842013321505e-12,5
ed9cbcae5f86,0.9,0.2,0.8,1e-10,2.6251222774020373e-12,6.187198702550273e-13,2.4649566462333952e-12,8.084842916680082e-13,5
0292ac89d7b8,0.9,0.2,0.9,1e-10,2.1168996929192574e-12,4.893958841104533e-13,1.9841681959107876e-12,6.70657306080179e-13,5
