config_id,spectral_radius,input_scaling,leak_rate,best_ridge_mode,val_nmse_mean,val_nmse_std,test_nmse_mean,test_nmse_std,n_seeds
2b6b533a6eee,0.7,0.05,0.8,1e-10,0.16576162343033501,0.03247421000942556,0.14459348063437463,0.010341419369556721,5
6e9fce6c8a9f,0.7,0.05,0.9,1e-10,0.17128767243983195,0.03364645859877757,0.1491922374333245,0.01034600376782032,5
243378fb693a,0.7,0.05,1.0,1e-10,0.17413648907644075,0.03487161030616369,0.15135733381695218,0.011328412738309738,5
adc4d1ebebf2,0.7,0.1,0.5,1e-10,0.222253522349124,0.026881677813603542,0.2105996843446613,0.014997054491825828,5
72f84ae81d5b,0.7,0.1,0.6,1e-10,0.20081625152972885,0.023047725856385152,0.18827413854497405,0.012754812645955483,5
f8869541ea23,0.7,0.1,0.7,1e-10,0.1775143784587368,0.023490093065055076,0.15867023845959655,0.009026539755881054,5
b7ca5cc723dc,0.7,0.1,0.8,1e-10,0.14379487066758395,0.030531967541478546,0.1214228573422919,0.009786392881714862,5
26e138b087c3,0.7,0.1,0.9,1e-10,0.15030486681894686,0.03661219317580462,0.12794768552549055,0.014526651088798966,5
25de579150b8,0.7,0.1,1.0,1e-10,0.1508958410006634,0.04022623523574868,0.12810796206232744,0.019213679854775526,5
0a746aa19511,0.7,0.15,0.5,1e-10,0.21538948597295765,0.026035211457838745,0.2054135746097566,0.016268712995463893,5
156850c8e8b6,0.7,0.15,0.6,1e-10,0.19508617312647533,0.022832420226295176,0.1812589356265329,0.011474773556594408,5
5b64961deeb5,0.7,0.15,0.7,1e-10,0.1722210739938834,0.023602035835478343,0.1518198024976023,0.007701628769685291,5
1aa27eda48ff,0.7,0.15,0.8,1e-10,0.13606720597544242,0.029069449790943714,0.11232639501348438,0.008146095930227821,5
aacbc395b88c,0.7,0.15,0.9,1e-10,0.13939386634148826,0.0354031798424092,0.11670158277705445,0.01466204763129745,5
8bffc079700d,0.7,0.15,1.0,1e-10,0.14524542373295812,0.03948253052787907,0.12100139445865796,0.018173634456238152,5
436b06916e16,0.7,0.2,0.5,1e-10,0.21249030899571797,0.025225934663135125,0.20272157067029223,0.01778536278242251,5
5dacf2ac3539,0.7,0.2,0.6,1e-10,0.19301698637875503,0.022695167522020616,0.17876566940034233,0.01144292396349061,5
7d41b535bebe,0.7,0.2,0.7,1e-10,0.17161277333601838,0.024037797427063686,0.15078750720475195,0.005391851318438303,5
15d61a684a93,0.7,0.2,0.8,1e-10,0.13334843513144234,0.0286678978335012,0.10869470123718723,0.00700462542289553,5
40baa4e14728,0.7,0.2,0.9,1e-10,0.13584634742765128,0.03465327908373599,0.11297411658038514,0.014258283786407389,5
aeb751998e63,0.7,0.2,1.0,1e-10,0.14584073720535062,0.03972904427127792,0.12001705452612596,0.01835465759932862,5
