task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,n_seeds,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std
narma10,22,region_selection_multitask_v1,random_sparse,71d9a73ad4da,1.05,0.1,0.9,0.12647261114614716,0.1276804368617034,32.0,32.0,22,62,12,22,62,12,7,0.12647261114614716,0.04720957944386322,0.1276804368617034,0.038013354092355976,0.13072578811644806,0.08042611273611922,0.11163213609334822,0.05486113851272554,25.654473842681593,3.229674009230251
narma10,23,region_selection_multitask_v1,random_sparse,df250dc1aba0,1.05,0.05,0.9,0.1277412062699835,0.1281070917097125,33.333333333333336,33.333333333333336,23,72,5,23,72,5,7,0.1277412062699835,0.04837678293781506,0.1281070917097125,0.03572383416245714,0.17671092139605485,0.09543477973272031,0.14586370800531037,0.053625999425807834,28.660727932700865,4.081774534970003
narma10,24,region_selection_multitask_v1,random_sparse,e8d0cdd4deab,1.0,0.8,0.9,0.13191215266071707,0.13513804788868486,33.666666666666664,33.666666666666664,24,37,40,24,37,40,7,0.13191215266071707,0.024948984691032256,0.13513804788868486,0.024889750344751018,0.05878178994680788,0.006236134543309447,0.0561360192214339,0.008735222349926948,12.346146188174066,0.543117453743363
narma10,25,region_selection_multitask_v1,random_sparse,ea93ddc121f9,0.8,0.05,1.0,0.13574921776951474,0.13731140128694114,41.666666666666664,41.666666666666664,25,85,15,25,85,15,7,0.13574921776951474,0.024217135353158135,0.13731140128694114,0.016613369573146016,0.311055248335702,0.0347166072779668,0.30838493042422105,0.0600165213311932,24.34758146879508,1.1608885484081606
narma10,26,region_selection_multitask_v1,random_sparse,fc01cbd8804c,0.8,0.05,0.9,0.13877138223175867,0.14025664044072378,45.333333333333336,45.333333333333336,26,84,26,26,84,26,7,0.13877138223175867,0.025787718644240443,0.14025664044072378,0.012488364433969428,0.3041219437987324,0.03303108875614956,0.2939547113972976,0.050861321756632064,20.23835693947938,1.085377309188708
narma10,27,region_selection_multitask_v1,random_sparse,dc4c45de4adf,1.0,0.1,1.0,0.1438244463057981,0.1483552080735266,32.0,32.0,27,63,6,27,63,6,7,0.1438244463057981,0.035017341117758546,0.1483552080735266,0.033481388089365335,0.13590228484776426,0.04665292722652457,0.12168570051558751,0.027945769997957108,28.620713296093488,1.3607014605003103
narma10,28,region_selection_multitask_v1,random_sparse,67e56b279b44,1.0,0.2,1.0,0.14483619599037262,0.14643310562157102,32.666666666666664,32.666666666666664,28,54,16,28,54,16,7,0.14483619599037262,0.03695771475630116,0.14643310562157102,0.03256664551350472,0.0965197991838294,0.032712295818352,0.08834934573401232,0.0208484643574754,24.1800990142445,1.1236088609496775
narma10,29,region_selection_multitask_v1,random_sparse,92bfaaea8b8b,1.0,0.05,1.0,0.1480566668747813,0.1502744640829597,35.333333333333336,35.333333333333336,29,75,2,29,75,2,7,0.1480566668747813,0.03656112767925989,0.1502744640829597,0.03500558617859807,0.19748059064129725,0.06647691501422341,0.17537605042148494,0.045252415954181315,32.09784274028736,1.6855211783844628
narma10,30,region_selection_multitask_v1,random_sparse,49e0a1f4f06c,1.0,1.0,0.9,0.15187640172385328,0.15262641911427247,39.0,39.0,30,36,51,30,36,51,7,0.15187640172385328,0.0262063180167486,0.15262641911427247,0.02817482138104707,0.058714767494365785,0.008825307675828599,0.055216688880708124,0.00791380989105671,10.935498187855126,0.5048654478350378
narma10,31,region_selection_multitask_v1,random_sparse,de029cf2303a,1.0,0.4,1.0,0.15389546404058363,0.14965350057876506,36.666666666666664,36.666666666666664,31,49,30,31,49,30,7,0.15389546404058363,0.04155035969653496,0.14965350057876506,0.03402495219140235,0.0739790401805547,0.021232091369444282,0.06942821374241355,0.014345922991286064,18.611357390912676,1.0012940969663278
