task,task_global_rank,design_name,reservoir_type,config_id,spectral_radius,input_scaling,leak_rate,task_val_metric,global_aggregate_rank,aggregate_rank_within_design,rank_narma10_within_design,rank_mg_within_design,rank_mc_within_design,global_rank_narma10,global_rank_mg,global_rank_mc,diag_spectral_radius_mean,diag_spectral_norm_mean,diag_henrici_departure_mean,diag_transient_growth_max_mean,n_seeds,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,mc_total_mean,delta_vs_baseline_narma10_val_nmse,delta_vs_baseline_mg_val_nmse,delta_vs_baseline_mc_total,diag_mean_abs_eigenvalue_mean,diag_frobenius_norm_mean,diag_density_mean,diag_singular_value_max_mean,diag_singular_value_min_mean,diag_singular_value_mean_mean,diag_singular_value_q90_mean,diag_singular_condition_number_mean,diag_transient_growth_argmax_mean,task_test_metric
memory_capacity,150,multiscale_three_random,multiscale,37929e56638c,1.2,0.8,0.3,8.363884616780355,118.33333333333333,20.666666666666668,30,6,26,150,55,150,1.201801212634739,2.565931417895572,0.7820874945333164,3295639431143.8975,7,0.2790261300911813,0.2835822154519229,0.01975402347032484,0.01774942854749385,8.363884616780355,-0.0057328198508193595,0.00488961835689522,-0.6512517144845162,0.5151625565519871,9.620479323345235,0.11647142857142857,2.565931417895572,0.0011098908621590014,0.7412043039222279,1.6137957434730248,4582.19096754211,150.0,
memory_capacity,151,multiscale_two_random,multiscale,5d1a27f2c344,1.0,1.0,0.3,8.27101975059183,122.0,22.0,31,6,29,138,77,151,1.0009021433903,1.9999747355820752,0.754406921049447,4.241492337094208,7,0.269208448732221,0.2803357184430587,0.022750719580483143,0.02063509411082417,8.27101975059183,-0.0072809153754879175,0.0077078482668849375,-0.5221340340761973,0.4479376867921199,7.711407678325702,0.15025714285714287,1.9999747355820752,0.002881764339246337,0.6075292188109892,1.2698525822734548,1098.8856514522136,47.285714285714285,
memory_capacity,152,multiscale_two_random,multiscale,156770123aaf,1.2,1.0,0.3,8.244124952651584,113.0,21.666666666666668,32,3,30,140,47,152,1.200755147803551,2.398225188522893,0.7551342629735603,2616620224838.9507,7,0.2711430916912911,0.27965460192001423,0.018805963072624,0.01650841731474241,8.244124952651584,-0.018590414102858333,0.005992887076255849,-0.5429139718333005,0.5345854391088933,9.23379791169894,0.15025714285714287,2.398225188522893,0.002623235540029237,0.7268698055967645,1.5205325757705836,1226.6644691586037,150.0,
memory_capacity,153,random_sparse_baseline,random_sparse,dc7bdefae761,1.2,1.5,0.5,8.228258118169554,114.0,21.666666666666668,20,16,29,111,78,153,1.1999999999999946,2.304079409921362,0.7274995562115282,2284411263958.148,7,0.23665318566215685,0.2443288174080355,0.02283494340146889,0.021312788658355543,8.228258118169554,,,,0.7177310818898779,11.251538232464535,0.09999999999999999,2.304079409921362,0.005031789221482156,0.9359262707377084,1.8386803354101227,689.0417882010561,150.0,
memory_capacity,154,random_sparse_baseline,random_sparse,71bb84fdc255,1.4,1.5,0.5,8.182843901975277,117.33333333333333,22.333333333333332,22,15,30,124,74,154,1.40005374561821,2.6881977412356295,0.7274995562115282,2.5560712329949505e+22,7,0.25697792312708895,0.27245541521286365,0.022471541720183515,0.02077475814884484,8.182843901975277,,,,0.8373852795223978,13.12730671459052,0.09999999999999999,2.6881977412356295,0.005870703195098109,1.091956301948473,2.145212293369713,689.0417882010894,150.0,
memory_capacity,155,cycle_jump_j7,cycle_jump,1fba7e1dce2c,1.0,1.5,0.3,8.174994055916766,113.66666666666667,17.0,23,5,23,159,27,155,0.9999999999999962,0.9999999999999957,0.0,0.9999999999999957,7,0.2849742988197406,0.2895826274526142,0.015508691683970597,0.014419953765289619,8.174994055916766,-0.009029207546232432,0.0006406963241363875,0.9495479242013491,0.7866380884006573,8.031005006854235,0.02,0.9999999999999957,0.5384615384615362,0.7866380884006572,0.9881507866598865,1.8571428571428572,1.0,
memory_capacity,156,multiscale_two_random,multiscale,059a4ddb8c9d,1.4,1.0,0.3,8.149943299166019,138.33333333333334,24.666666666666668,34,9,31,149,110,156,1.4006490944876837,2.796703057934039,0.755599917558585,2.734634575349156e+22,7,0.2786599747571013,0.281039602356222,0.027145593917411736,0.022597573708393815,8.149943299166019,-0.04979259895420779,0.01349638199265489,1.044907672988268,0.6213918024452535,10.758746887882749,0.15025714285714287,2.796703057934039,0.002455663420939462,0.8464677122710745,1.7716315184806695,22840.887306003402,150.0,
memory_capacity,157,multiscale_three_random,multiscale,5d1a27f2c344,1.0,1.0,0.3,7.969455518630575,132.0,21.666666666666668,31,7,27,155,84,157,1.0020300674810614,2.1391446652930806,0.7810152437806795,6.979268780287593,7,0.2830003448577013,0.29205326274028026,0.0236370946179317,0.021840436812692886,7.969455518630575,0.006510980749992401,0.008594223304333494,-0.8236982660374519,0.4327110017633253,8.030036159189937,0.11647142857142857,2.1391446652930806,0.001043590347019884,0.6194871184554887,1.347803418405189,6712.703377178353,49.57142857142857,
memory_capacity,158,multiscale_three_random,multiscale,7fc835c6d77b,1.4,0.8,0.3,7.939455283842952,116.66666666666667,20.666666666666668,32,2,28,157,35,158,1.4016080719462036,2.9928549877162185,0.7828311768138957,3.0456052690352345e+22,7,0.28364779746569385,0.2899837205178798,0.01685928793900705,0.015514149444896649,7.939455283842952,-0.04642251501519523,0.002913101658996692,1.155150295158693,0.5977017181022097,11.212929456200007,0.11647142857142857,2.9928549877162185,0.00103584920879922,0.8631420002754782,1.8801070498550005,5943.607156096757,150.0,
memory_capacity,159,multiscale_three_random,multiscale,156770123aaf,1.2,1.0,0.3,7.905338860241645,121.0,21.666666666666668,33,3,29,162,42,159,1.201801212634739,2.565931417895572,0.7820874945333164,3295639431143.8975,7,0.2857175291498019,0.28991999640408755,0.01831501979884766,0.016965869943038253,7.905338860241645,-0.0040159766443474965,0.00550194380247951,-0.8817000642432395,0.5151625565519871,9.620479323345235,0.11647142857142857,2.565931417895572,0.0011098908621590014,0.7412043039222279,1.6137957434730248,4582.19096754211,150.0,
