task,task_global_rank,model_name,model_kind,config_id,task_val_metric,task_test_metric,global_aggregate_rank,aggregate_rank_within_model,global_rank_delay_recall,global_rank_narma10,global_rank_mg,n_total_params_mean,n_trainable_params_mean,selected_fit_s_mean,selected_test_s_mean,selected_total_s_mean,tuning_total_s_sum,n_seeds,hidden_size,learning_rate,weight_decay,bptt_length,batch_size,num_layers,dropout,max_epochs,patience,grad_clip,training_mode,window_stride,window_washout,normalize_inputs,normalize_targets,max_train_seconds_per_run,delay_recall_memory_corr_total_mean,delay_recall_memory_eff_total_mean,narma10_val_nmse_mean,narma10_test_nmse_mean,mg_val_nmse_mean,mg_test_nmse_mean,diagnostic_total_s_mean,selected_fit_s_std,selected_test_s_std,selected_total_s_std,diagnostic_total_s_sum,rank_delay_recall_within_model,rank_narma10_within_model,rank_mg_within_model,delay_recall_test_memory_corr_total_mean,delay_recall_test_memory_eff_total_mean,spectral_radius,input_scaling,leak_rate,n_lags,feature_mode,ridge_param
mackey_glass,11,cycle_scr,esn,b07b757cf213,0.013364150909812716,0.012813628377884079,33.333333333333336,4.333333333333333,41,48,11,13600.0,3400.0,1.1227104857129493,0.046606671419535166,1.1693171571324845,46.21971390008548,7,,,,,,,,,,,,,,,,,5.312821455403588,4.746655454624535,0.9027771232788416,0.9065451355269217,0.013364150909812716,0.012813628377884079,0.3898364142857775,0.060433203961419955,0.0004662255398668848,0.06043500233553903,48.231842100016365,6,6,1,5.33316977953754,4.7891997350202615,1.4,1.5,0.3,,,
mackey_glass,12,cycle_scr,esn,5d1a27f2c344,0.014317544701083814,0.012023149965699639,27.0,3.6666666666666665,34,35,12,13600.0,3400.0,1.0498434000026984,0.04671164285744972,1.0965550428601483,46.21971390008548,7,,,,,,,,,,,,,,,,,10.115084648538025,9.760446282675895,0.28308350906144053,0.28815971477366614,0.014317544701083814,0.012023149965699639,0.3655818666676558,0.07334467527523467,0.0005518233532258635,0.07334675112261471,48.231842100016365,5,4,2,10.147632700136674,9.803929501968824,1.0,1.0,0.3,,,
mackey_glass,13,cycle_jump_j7,esn,156770123aaf,0.015527310305311915,0.013499136673121344,32.666666666666664,4.0,40,45,13,13600.0,3400.0,1.3256227142867698,0.04611015714285063,1.3717328714296206,53.3815588999787,7,,,,,,,,,,,,,,,,,6.867369127573077,6.668810273146632,0.4000542762178241,0.36368219258738027,0.015527310305311915,0.013499136673121344,0.45729968095249546,0.08486810652241808,0.00043693652227534734,0.0848692312809831,55.374310200037144,5,5,2,6.742904512458354,6.448251243861423,1.2,1.0,0.3,,,
mackey_glass,14,simple_rnn,torch_simple_rnn,8e28073ddfcb,0.015822457854024825,0.01715257615448633,8.0,2.0,9,1,14,6498.0,6498.0,131.90919511428467,0.10993894285742759,132.0191340571421,5328.41050729993,7,64,0.003,0.0,200,32,1,,800,50,1.0,windowed,50,auto,True,True,,43.352249051875496,42.64570120785144,0.01619387248695994,0.018044734597254954,0.015822457854024825,0.01715257615448633,44.03103805238027,11.27677290533741,0.019418027638493082,11.27678962375149,6825.014685099886,4,1,1,43.32673309734379,42.68519378479762,,,,,,
mackey_glass,15,nonnormal_chain_g0_3,esn,4df7ca5b3a5c,0.016329657018653684,0.012536775984238255,35.666666666666664,4.666666666666667,48,44,15,13600.0,3400.0,1.2123186428590478,0.047029157144217085,1.259347800003265,49.86669650019758,7,,,,,,,,,,,,,,,,,1.5854294693107291,1.0058172933300094,0.3815569395587137,0.42000666926499514,0.016329657018653684,0.012536775984238255,0.4198496714279394,0.05841354217214088,0.00048799210064330134,0.05841558050200966,51.89364260000002,6,6,2,1.7740644271746784,1.1559509726957882,1.0,0.4,0.5,,,
mackey_glass,16,multiscale_three_random,esn,059a4ddb8c9d,0.016611340787335865,0.015177241276779654,31.666666666666668,4.333333333333333,39,40,16,13600.0,3400.0,1.2856335428514285,0.04901941428813318,1.3346529571395616,51.414534299816296,7,,,,,,,,,,,,,,,,,7.000933874498346,6.69588141331517,0.2899852970125139,0.29771381530466595,0.016611340787335865,0.015177241276779654,0.4449501190479384,0.07134525036661904,0.00510947698957881,0.07152797707878078,53.468558599983226,6,6,1,6.972505312470295,6.71205003441576,1.4,1.0,0.3,,,
mackey_glass,17,multiscale_three_random,esn,156770123aaf,0.01831501979884766,0.016965869943038253,30.333333333333332,4.0,38,36,17,13600.0,3400.0,1.2779605714219673,0.04898872857510079,1.326949299997068,51.414534299816296,7,,,,,,,,,,,,,,,,,7.531781320143614,7.238037141146208,0.2857175291498019,0.28991999640408755,0.01831501979884766,0.016965869943038253,0.4423745714271458,0.053384762732744014,0.004995530257563065,0.053617984059321014,53.468558599983226,5,5,2,7.444908589164283,7.2425520213893035,1.2,1.0,0.3,,,
mackey_glass,18,simple_rnn,torch_simple_rnn,b760a145a7c4,0.021306509095472236,,11.333333333333334,3.3333333333333335,13,3,18,6498.0,6498.0,166.89547867143017,,166.96704035714356,5328.41050729993,7,64,0.001,0.0,200,32,1,,800,50,1.0,windowed,50,auto,True,True,,34.63273120574148,33.83353808346327,0.021942592597879278,,0.021306509095472236,,55.65568011904785,10.365106075522183,,10.366633650400306,6825.014685099886,5,3,2,,,,,,,,
mackey_glass,19,nonnormal_chain_g0_3,esn,259248d07a08,0.02138566265179228,0.022744387608516495,32.333333333333336,2.6666666666666665,45,33,19,13600.0,3400.0,1.1657244428643025,0.04849150000102652,1.214215942865329,49.86669650019758,7,,,,,,,,,,,,,,,,,3.006770818614214,2.1047280290968,0.2751203071492913,0.27792532092990774,0.02138566265179228,0.022744387608516495,0.40480430476149887,0.04320728774124365,0.004148932591814327,0.04340602902369719,51.89364260000002,3,2,3,3.124972114635245,2.3037692838770525,0.95,0.2,0.9,,,
mackey_glass,20,simple_rnn,torch_simple_rnn,e8737e669707,0.026316178249727224,,8.666666666666666,2.3333333333333335,4,2,20,21154.0,21154.0,170.17034655714295,,170.25370621428425,5328.41050729993,7,128,0.001,0.0,200,32,1,,800,50,1.0,windowed,50,auto,True,True,,51.25609412308559,50.26471373624684,0.01815476186262075,,0.026316178249727224,,56.75123540476142,17.841554049651982,,17.83822402179377,6825.014685099886,2,2,3,,,,,,,,
mackey_glass,21,nonnormal_chain_g0_3,esn,9e51842d34ab,0.02849847794294046,0.026395152131120814,32.0,2.0,43,32,21,13600.0,3400.0,1.1787982428712505,0.046585942853458365,1.225384185724709,49.86669650019758,7,,,,,,,,,,,,,,,,,3.5980148048609166,2.7711284081331846,0.26198654495850204,0.2656527355465411,0.02849847794294046,0.026395152131120814,0.40852623333298,0.0589279007083161,0.00044860311105195095,0.058929608234234904,51.89364260000002,1,1,4,3.804890559930923,2.949034562394645,0.95,0.2,1.0,,,
mackey_glass,22,nonnormal_chain_g0_3,esn,4d2160951482,0.030137500689638667,0.03226941844977809,35.333333333333336,4.666666666666667,46,38,22,13600.0,3400.0,1.123146642858046,0.05009688571278405,1.17324352857083,49.86669650019758,7,,,,,,,,,,,,,,,,,2.0560427476770404,1.3005425487028452,0.28736892344117687,0.2898389303428112,0.030137500689638667,0.03226941844977809,0.39114597619031666,0.035814991340488676,0.0066620013591647915,0.03642932701586447,51.89364260000002,4,5,5,1.9962335995120501,1.1228455566136226,1.0,0.2,0.9,,,
mackey_glass,23,simple_rnn,torch_simple_rnn,b7104fa59923,0.04002964789395907,,10.0,3.0,3,4,23,21154.0,21154.0,139.22943040000143,0.04778165714170817,139.3351850999991,5328.41050729993,7,128,0.003,0.0,200,32,1,,800,50,1.0,windowed,50,auto,True,True,,67.00713203506244,66.37971520746525,0.029211783045685856,,0.04002964789395907,,46.45416437142731,10.140393072402171,0.012218927277097386,10.137427305496969,6825.014685099886,1,4,4,66.38330041783976,65.75850374611905,,,,,,
mackey_glass,24,simple_rnn,torch_simple_rnn,ad4f2296d003,0.042530574019626066,,12.333333333333334,4.333333333333333,8,5,24,6498.0,6498.0,104.01100325714131,,104.08307671428234,5328.41050729993,7,64,0.01,0.0,200,32,1,,800,50,1.0,windowed,50,auto,True,True,,46.96143972790315,46.086864323699096,0.05103771864349527,,0.042530574019626066,,34.69435890476078,13.326514719034899,,13.323529621046829,6825.014685099886,3,5,5,,,,,,,,
mackey_glass,25,cycle_jump_j7,esn,4e018c35c4e2,0.05425197055303445,0.04987688353861914,20.666666666666668,3.3333333333333335,23,14,25,13600.0,3400.0,1.2737205000001788,0.04831892857120173,1.3220394285713803,53.3815588999787,7,,,,,,,,,,,,,,,,,23.957953772808917,23.677868684598185,0.11612539614954573,0.11798146275037143,0.05425197055303445,0.04987688353861914,0.44073811428686555,0.08284816469857213,0.0037866816295459354,0.08293465712044196,55.374310200037144,4,3,3,23.783480849914778,23.519245369332868,1.0,0.4,0.9,,,
mackey_glass,26,random_sparse_baseline,esn,4e018c35c4e2,0.06500131472712319,0.060055657497466296,21.666666666666668,3.3333333333333335,28,11,26,13600.0,3400.0,1.2712098999982118,0.046069999994610304,1.3172798999928221,52.520950600053766,7,,,,,,,,,,,,,,,,,16.622569468243885,16.388063582015356,0.11014100312511667,0.11547648388967137,0.06500131472712319,0.060055657497466296,0.4391506047620732,0.07404891362368651,0.0005105712134755976,0.07405067381065628,54.46438949998992,4,3,3,16.557428493842263,16.38254984434515,1.0,0.4,0.9,,,
mackey_glass,27,cycle_scr,esn,4d2160951482,0.07533590750563217,0.06453104949239814,22.666666666666668,3.0,10,31,27,13600.0,3400.0,1.078183228573055,0.049461842859662805,1.1276450714327177,46.21971390008548,7,,,,,,,,,,,,,,,,,37.83592709412433,37.328801911180484,0.19156864177292485,0.19011396012460008,0.07533590750563217,0.06453104949239814,0.37594502857107376,0.07839611995912624,0.006728690921641931,0.07868434981725843,48.231842100016365,3,3,3,37.80388338466806,37.34862464342841,1.0,0.2,0.9,,,
mackey_glass,28,cycle_scr,esn,259248d07a08,0.07602873565528812,0.07020250059056587,20.333333333333332,3.0,15,18,28,13600.0,3400.0,1.1074208142849133,0.049379114287148695,1.1567999285720623,46.21971390008548,7,,,,,,,,,,,,,,,,,33.12961993720064,32.86311257410189,0.14201086112350716,0.14626654375842763,0.07602873565528812,0.07020250059056587,0.3856592380948964,0.037007074796788,0.00699117753450314,0.037661653552838105,48.231842100016365,4,1,4,32.95478654940889,32.65367797810725,0.95,0.2,0.9,,,
mackey_glass,29,random_sparse_baseline,esn,4d2160951482,0.08151593822022375,0.07649563069450863,21.0,3.0,24,10,29,13600.0,3400.0,1.1668242857111701,0.04625831428191825,1.2130825999930883,52.520950600053766,7,,,,,,,,,,,,,,,,,21.285211648228707,21.006570386218986,0.10431037277480791,0.11210449361094285,0.08151593822022375,0.07649563069450863,0.4044227285717386,0.055977437656091505,0.0007718162357509808,0.055982758299706704,54.46438949998992,3,2,4,21.316208108390295,21.15131790681644,1.0,0.2,0.9,,,
mackey_glass,30,nonnormal_chain_g0_3,esn,0e41bf66b8bb,0.08883393558888054,0.0866197839426559,37.0,4.666666666666667,47,34,30,13600.0,3400.0,1.2182953285737312,0.04931089999653133,1.2676062285702625,49.86669650019758,7,,,,,,,,,,,,,,,,,1.937791169169892,1.262311477538012,0.2799212169633843,0.28213166054853395,0.08883393558888054,0.0866197839426559,0.42259860952479006,0.07195234543198033,0.006145613711625133,0.07221432393269037,51.89364260000002,5,3,6,2.430725245573826,1.3766275673354544,0.95,0.1,0.9,,,
mackey_glass,31,multiscale_three_random,esn,4e018c35c4e2,0.08936568899357018,0.08566477534600513,23.0,3.3333333333333335,29,9,31,13600.0,3400.0,1.1997859571461698,0.04736458570966663,1.2471505428558365,51.414534299816296,7,,,,,,,,,,,,,,,,,13.91192019597477,13.726641838203719,0.10217313751164861,0.1039892101304526,0.08936568899357018,0.08566477534600513,0.41578070952354684,0.046441803523881046,0.0011014090118845103,0.046454862139094014,53.468558599983226,4,3,3,13.907292733483716,13.757000504190431,1.0,0.4,0.9,,,
mackey_glass,32,cycle_jump_j7,esn,4d2160951482,0.09288330540341053,0.08507153756184219,20.666666666666668,3.0,17,13,32,13600.0,3400.0,1.219436171425124,0.04744164285719827,1.2668778142823223,53.3815588999787,7,,,,,,,,,,,,,,,,,29.889550889223074,29.6918595376007,0.1134859093557314,0.11681786443089012,0.09288330540341053,0.08507153756184219,0.42235218095274396,0.07038090621612346,0.0022387154237733043,0.07041650237374338,55.374310200037144,3,2,4,29.853876890316695,29.68064086202074,1.0,0.2,0.9,,,
mackey_glass,33,multiscale_three_random,esn,4d2160951482,0.10857852908212495,0.10374279620630389,21.666666666666668,2.3333333333333335,26,6,33,13600.0,3400.0,1.1465126857105394,0.052041800004579794,1.1985544857151191,51.414534299816296,7,,,,,,,,,,,,,,,,,17.112911954359816,16.88657585136102,0.0956872416021031,0.10034427988230311,0.10857852908212495,0.10374279620630389,0.39958150952346233,0.04308613107087651,0.008016592232965261,0.0438255683555432,53.468558599983226,2,1,4,17.062101690245772,16.86400362378262,1.0,0.2,0.9,,,
mackey_glass,34,multiscale_three_random,esn,259248d07a08,0.12065813583772467,0.11502179549194237,22.666666666666668,3.3333333333333335,27,7,34,13600.0,3400.0,1.170793357133724,0.04762417142878154,1.2184175285625056,51.414534299816296,7,,,,,,,,,,,,,,,,,16.630248742481914,16.443592646513128,0.0981875920841064,0.10112023399325852,0.12065813583772467,0.11502179549194237,0.40620381904799224,0.048365765417612075,0.0011928176114458639,0.04838047207588673,53.468558599983226,3,2,5,16.57901224737878,16.41184985631402,0.95,0.2,0.9,,,
mackey_glass,35,cycle_jump_j7,esn,96af7170b8b0,0.13343796416397105,0.11640515095592363,19.666666666666668,2.6666666666666665,12,12,35,13600.0,3400.0,1.2196339714293052,0.04626572857627512,1.2658997000055805,53.3815588999787,7,,,,,,,,,,,,,,,,,34.88506083844006,34.54157334441842,0.11336909917392303,0.11718050323948738,0.13343796416397105,0.11640515095592363,0.4220234761911949,0.0715941341602898,0.00042463272161105995,0.07159539342101444,55.374310200037144,2,1,5,35.04845877053484,34.80987456460142,1.0,0.1,0.9,,,
mackey_glass,36,random_sparse_baseline,esn,0e41bf66b8bb,0.14568633253275037,0.13538877985958386,21.666666666666668,2.6666666666666665,21,8,36,13600.0,3400.0,1.139177285724145,0.04594455714686774,1.1851218428710126,52.520950600053766,7,,,,,,,,,,,,,,,,,24.479792837681945,24.2716644755966,0.09823604473788065,0.10603864638529889,0.14568633253275037,0.13538877985958386,0.39510299523750464,0.03191637591947621,0.00042640185693909664,0.03191922415061058,54.46438949998992,2,1,5,24.43935675391802,24.305052464917118,0.95,0.1,0.9,,,
mackey_glass,37,cycle_scr,esn,9992b49ddf96,0.21070789896388525,0.1807912566067415,19.666666666666668,2.6666666666666665,1,21,37,13600.0,3400.0,1.1187556428579097,0.04699948571838571,1.1657551285762955,46.21971390008548,7,,,,,,,,,,,,,,,,,84.86462945527983,84.76317455569536,0.15871631968777788,0.16125890931414283,0.21070789896388525,0.1807912566067415,0.3886470857153957,0.06566158238573176,0.0018427929275556087,0.06568743629623619,48.231842100016365,1,2,5,84.13521509915351,84.06547033518518,0.95,0.05,1.0,,,
