config_id,spectral_radius,input_scaling,leak_rate,narma10_val_nmse_mean,narma10_val_nmse_std,narma10_test_nmse_mean,narma10_test_nmse_std,mg_val_nmse_mean,mg_val_nmse_std,mg_test_nmse_mean,mg_test_nmse_std,mc_total_mean,mc_total_std,rank_narma10,rank_mg,rank_mc,aggregate_rank,n_seeds
8c1c233dfbb1,0.7,0.3,1.0,0.15055971941208662,0.040387912796677576,0.12249045660836713,0.018918633498156312,2.429566848327993e-12,4.357266272234235e-13,2.3736617954450238e-12,4.3201878472205444e-13,15.16538408533016,0.38811365981426516,76,24,115,71.66666666666667,5
8548609bc94c,0.7,0.3,0.9,0.13778712404393909,0.035860925855956946,0.1138274693238476,0.015289125022667124,2.5831856047322505e-12,4.1013877208949217e-13,2.499209559120337e-12,4.634141784564236e-13,14.025306023227955,0.3282273740653376,56,33,137,75.33333333333333,5
40baa4e14728,0.7,0.2,0.9,0.13584634742765128,0.03465327908373599,0.11297411658038514,0.014258283786407389,4.926063057243434e-12,7.340760894052154e-13,4.446644556601162e-12,6.588195719093301e-13,15.171703666800951,0.24997102921249437,51,65,114,76.66666666666667,5
0fb1da4d091e,0.9,0.05,0.7,0.13569319074847538,0.02110113518539804,0.11893492408062004,0.008135373194131004,1.847822335015993e-11,3.2697944360159347e-12,1.772454676592789e-11,3.2782455252561985e-12,19.377064668772967,0.8438591389270595,50,138,43,77.0,5
25de579150b8,0.7,0.1,1.0,0.1508958410006634,0.04022623523574868,0.12810796206232744,0.019213679854775526,8.950905289348742e-12,2.9586287138343182e-12,8.191684890075198e-12,2.4315977639896475e-12,18.806523405859384,0.5164420164281355,77,100,54,77.0,5
9143fa7774c8,1.0,0.3,0.9,0.11839762940456303,0.022074102483732993,0.09825105233045932,0.01869053425210331,7.780506674519482e-11,1.53411213177294e-10,2.3372316600383645e-12,2.444448848147102e-12,19.296228558131734,0.9023496670669136,14,171,47,77.33333333333333,5
5a1306e243a3,1.0,0.4,0.7,0.15819417028129895,0.021063311570599208,0.14285316415914187,0.007006668240828962,1.9345005931860103e-12,9.480836420052214e-13,1.541444724192404e-12,5.692159317849402e-13,14.615261869956834,0.47117713899339897,94,18,123,78.33333333333333,5
f669676d58af,0.9,0.3,0.7,0.15601413532432323,0.021605441283203543,0.13819987191669925,0.007763504226362555,2.443893515532728e-12,8.323596163344051e-13,2.2291932341005094e-12,8.131030615501872e-13,14.817277833959091,0.19604377555531866,90,25,121,78.66666666666667,5
76d30ba9d16d,0.7,0.4,0.9,0.1416085612781847,0.03711067406947714,0.11690416433270048,0.015954515044285175,2.017397635766551e-12,5.994346449532976e-13,2.089541811771482e-12,7.160096780603224e-13,13.04181505435999,0.34070498117015185,59,19,160,79.33333333333333,5
fc504b853d09,0.7,0.3,0.8,0.13679140384866023,0.02980383101879555,0.11090296527345375,0.007652678091807898,2.8888520182783208e-12,6.435969901139686e-13,2.770640909470138e-12,8.017953923476061e-13,13.154711558946588,0.23938465835465453,53,37,155,81.66666666666667,5
